Image_Index,PSNR,SSIM
0,30.564654093733488,0.874614036547631
1,32.05289403818908,0.8969134134917259
2,32.588277057087865,0.8875976428244113
3,33.70684402031372,0.9115086583061218
4,34.3254510965741,0.9195187192411423
5,34.939946449415196,0.9199896758430004
6,32.89095672648885,0.8945860440354347
7,32.89701056969788,0.9005621126670837
8,33.34467350083446,0.9044293914957047
9,31.56127655045992,0.8935265014758446
10,34.16805570745967,0.8881750455808639
11,32.828881153726364,0.8876528158016205
12,33.19324108438784,0.890653904540658
13,34.43039831973957,0.9397126584477424
14,31.63324409280054,0.8440806509110927
15,32.64122958545623,0.8906201021962166
16,32.83102699623222,0.9041897159714699
17,33.003177417075776,0.878717439265728
18,37.346700131165676,0.9327847283058166
19,30.56577595625583,0.846877259814024
20,31.104505647225377,0.8661234503596276
21,39.350640073144916,0.9209793959245681
22,37.14980651260266,0.9192353223309517
23,33.617516649010355,0.8916831919822693
24,35.622017554534224,0.8939530818352699
25,36.327473403035555,0.8964829525737762
26,35.06058907137825,0.9045381359438897
27,36.20508751415936,0.9075666809782982
28,35.183070257082846,0.8942793730158806
29,35.67431859060196,0.9034465773129463
30,31.46311391778008,0.8967666500518322
31,31.102486702726424,0.8882836790927648
32,30.050746156487165,0.8492815905628205
33,32.235836540486204,0.8852840972221904
34,30.705056651068286,0.860032997733295
35,32.61696080664244,0.8866101485757828
36,33.03092704255559,0.8749140213990212
37,33.33500382218212,0.9276247144331932
38,33.62090971868564,0.8726283806681633
39,34.45736651641151,0.9307777438539266
40,37.7915983186834,0.9430872295150757
41,34.99194913774361,0.9052905167813301
42,33.2425045436536,0.8904410615692139
43,33.63732743090242,0.9210610505597592
44,30.459088005778966,0.8790630985264778
45,32.90447526569144,0.8699682725563049
46,31.414816136421038,0.9066550025031567
47,29.94489794576895,0.8733078620855212
48,35.70012532736311,0.8807933772687911
49,35.721854735845106,0.8812844997982979
50,35.77680696172218,0.8817646656520367
51,35.731886304369105,0.880974174004078
52,35.69355882449314,0.8817315792512894
53,35.68185151200325,0.879976310939312
54,35.716350039502515,0.8803198152604103
55,35.657274205127266,0.8794167038989067
56,35.65857559275998,0.8806346054344177
57,35.65985605760289,0.8812327144341469
58,35.57873390254712,0.8788549010491371
59,35.55787795453771,0.8792122788410187
60,35.63678932084177,0.8806518888177872
61,35.503609244767176,0.8793600261030197
62,35.600230904038014,0.8811570511236191
63,35.45538271149875,0.8780693822255135
64,35.48157233453955,0.8797241290874481
65,35.43867429390706,0.8794800157418251
66,35.42600846842402,0.8782635610089302
67,35.4096675337845,0.8783922637057304
68,35.38786228552571,0.8788900467188359
69,35.316709912844416,0.8791404145450592
70,35.4904132108489,0.8800105770993233
71,33.675681439922165,0.8965732888569832
72,32.921232334526735,0.8904066544187069
73,35.09827684503576,0.8875558815050125
74,36.11516279368833,0.8932265322861671
75,35.90098643795883,0.8929722404651642
76,35.40467853275549,0.8936462884607315
77,34.9931718417537,0.8834988132704497
78,34.4545897051945,0.9080024442720414
79,34.59050847172312,0.9125570936574936
80,35.14258878819324,0.9075203182673455
81,32.966059203096336,0.8935223115580082
82,29.16453052037056,0.8621341426484287
83,29.66630419304915,0.8508223485373855
84,29.4016216417551,0.8740850954053327
85,29.430561569745834,0.8731261268407107
86,29.33087498500698,0.8558079520208538
87,29.28535473741263,0.8334832639894485
88,27.711511382919287,0.8725855252287388
89,28.004723864354354,0.8748268682630063
90,27.91349254857935,0.8656231239209176
91,27.558953863688124,0.8590465706598759
92,28.031746374984774,0.8684038878569603
93,30.058636506782314,0.8752476206011176
94,28.798389998018603,0.8838123664332628
95,28.869720830236247,0.8811767908240556
96,29.582153236354674,0.8694634828281402
97,30.58050702278013,0.8951514580185413
98,29.818101405555225,0.8959014266405105
99,29.512193166902335,0.872522318652153
100,29.514122077027555,0.8626257262132168
101,29.45478746589028,0.8561939566869736
102,29.516073322052215,0.8531055094454288
103,29.560516794524396,0.8485438950386047
104,29.619205492679306,0.8488688315614462
105,29.579312675519162,0.851480680085659
106,29.65554839442496,0.8380618485519886
107,29.530665987096796,0.8392037883583308
108,29.695126391954236,0.8446414588727951
109,28.931511180651626,0.8336052790343761
110,31.312210418782772,0.8872154815447331
111,29.918319846408853,0.8489963936772347
112,30.95171446261501,0.8762415932120085
113,31.628869235269384,0.847171704890728
114,29.182679017290063,0.8596670520157814
115,28.786432135771058,0.8521504642921984
116,28.938112061761302,0.8591183456603437
117,30.41748437771687,0.8813964672031402
118,36.19892360830299,0.9387005718412399
119,28.957428864730463,0.8165828759627343
120,28.736201364794223,0.8132098969528675
121,28.843154309290384,0.8244979228568077
122,28.81573556294398,0.8182175350387096
123,28.838150213325125,0.8245562095208168
124,28.845963042831514,0.8337352527053357
125,34.44274031320661,0.9039507070307732
126,32.21398707823002,0.8923205094549655
127,31.125562791118966,0.8723859161741734
128,34.55265515885446,0.8834487221159935
129,35.41541749149427,0.8909008176207542
130,35.4908708606025,0.8931599785666465
131,38.35719021133354,0.8999904856147766
132,38.29841069671171,0.8978981934962272
133,38.12571329407853,0.8986473713817597
